[ 2025-07-16 21:32:15,496 ] 21 root - INFO - Initiate the data ingestion
[ 2025-07-16 21:32:19,511 ] 65 root - INFO - Performed train test split on the dataframe
[ 2025-07-16 21:32:19,513 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-07-16 21:32:19,515 ] 75 root - INFO - Exporting train and test file path.
[ 2025-07-16 21:32:19,885 ] 84 root - INFO - Exported train and test file path.
[ 2025-07-16 21:32:19,887 ] 23 root - INFO - Data Initiation Completed
[ 2025-07-16 21:32:19,944 ] 28 root - INFO - Initiate the data Validation
[ 2025-07-16 21:32:20,139 ] 33 root - INFO - Required number of columns:2
[ 2025-07-16 21:32:20,139 ] 34 root - INFO - Data frame has columns:31
[ 2025-07-16 21:32:20,139 ] 33 root - INFO - Required number of columns:2
[ 2025-07-16 21:32:20,139 ] 34 root - INFO - Data frame has columns:31
[ 2025-07-16 21:32:20,817 ] 30 root - INFO - data Validation Completed
